Container contains 1674 elements.
1: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
1068: This is a plane. Speed: 35, distance to destination: 1487.000000, time to distance: 42.485714, maximum flight distance: 3573, capacity: 277
1069: This is a plane. Speed: 41, distance to destination: 1775.000000, time to distance: 43.292683, maximum flight distance: 2870, capacity: 259
1070: 1071: This is a ship. Speed: 16, distance to destination: 1706.000000, time to distance: 106.625000, ship type: tanker, displacement: 19457
1072: 1073: 1074: 1075: This is a plane. Speed: 26, distance to destination: 1593.000000, time to distance: 61.269231, maximum flight distance: 2332, capacity: 113
1076: This is a plane. Speed: 50, distance to destination: 1905.000000, time to distance: 38.100000, maximum flight distance: 2466, capacity: 283
1077: 1078: This is a ship. Speed: 4, distance to destination: 1283.000000, time to distance: 320.750000, ship type: tanker, displacement: 13872
1079: This is a ship. Speed: 18, distance to destination: 1666.000000, time to distance: 92.555556, ship type: liner, displacement: 9470
1080: This is a ship. Speed: 16, distance to destination: 1267.000000, time to distance: 79.187500, ship type: tugboat, displacement: 30695
1081: This is a ship. Speed: 3, distance to destination: 304.000000, time to distance: 101.333333, ship type: tanker, displacement: 33767
1082: This is a ship. Speed: 18, distance to destination: 745.000000, time to distance: 41.388889, ship type: tugboat, displacement: 8000
1083: This is a plane. Speed: 24, distance to destination: 1370.000000, time to distance: 57.083333, maximum flight distance: 2660, capacity: 200
1084: 1085: 1086: 1087: 1088: 1089: This is a ship. Speed: 2, distance to destination: 1693.000000, time to distance: 846.500000, ship type: tanker, displacement: 17279
1090: This is a ship. Speed: 20, distance to destination: 674.000000, time to distance: 33.700000, ship type: tugboat, displacement: 12975
1091: This is a ship. Speed: 37, distance to destination: 1734.000000, time to distance: 46.864865, ship type: tanker, displacement: 28044
1092: This is a plane. Speed: 23, distance to destination: 1273.000000, time to distance: 55.347826, maximum flight distance: 3175, capacity: 133
1093: 1094: 1095: 1096: 1097: This is a ship. Speed: 3, distance to destination: 1137.000000, time to distance: 379.000000, ship type: tugboat, displacement: 32861
1098: This is a ship. Speed: 3, distance to destination: 1756.000000, time to distance: 585.333333, ship type: liner, displacement: 27203
1099: This is a plane. Speed: 12, distance to destination: 1356.000000, time to distance: 113.000000, maximum flight distance: 3750, capacity: 278
1100: This is a ship. Speed: 5, distance to destination: 1023.000000, time to distance: 204.600000, ship type: tugboat, displacement: 11270
1101: This is a ship. Speed: 22, distance to destination: 1484.000000, time to distance: 67.454545, ship type: tugboat, displacement: 4002
1102: This is a ship. Speed: 35, distance to destination: 1764.000000, time to distance: 50.400000, ship type: tugboat, displacement: 16531
1103: This is a ship. Speed: 34, distance to destination: 1488.000000, time to distance: 43.764706, ship type: tugboat, displacement: 25574
1104: 1105: This is a ship. Speed: 4, distance to destination: 237.000000, time to distance: 59.250000, ship type: tanker, displacement: 27615
1106: This is a ship. Speed: 26, distance to destination: 956.000000, time to distance: 36.769231, ship type: liner, displacement: 25510
1107: This is a plane. Speed: 30, distance to destination: 1094.000000, time to distance: 36.466667, maximum flight distance: 3698, capacity: 125
1108: This is a plane. Speed: 40, distance to destination: 1562.000000, time to distance: 39.050000, maximum flight distance: 3536, capacity: 216
1109: 1110: This is a ship. Speed: 17, distance to destination: 1331.000000, time to distance: 78.294118, ship type: tugboat, displacement: 20528
1111: This is a plane. Speed: 24, distance to destination: 1335.000000, time to distance: 55.625000, maximum flight distance: 3389, capacity: 124
1112: This is a plane. Speed: 3, distance to destination: 999.000000, time to distance: 333.000000, maximum flight distance: 2576, capacity: 138
1113: This is a plane. Speed: 47, distance to destination: 1692.000000, time to distance: 36.000000, maximum flight distance: 2057, capacity: 188
1114: This is a plane. Speed: 30, distance to destination: 1237.000000, time to distance: 41.233333, maximum flight distance: 2906, capacity: 141
1115: This is a plane. Speed: 22, distance to destination: 1590.000000, time to distance: 72.272727, maximum flight distance: 2686, capacity: 279
1116: 1117: This is a ship. Speed: 24, distance to destination: 1681.000000, time to distance: 70.041667, ship type: liner, displacement: 16060
1118: This is a ship. Speed: 8, distance to destination: 924.000000, time to distance: 115.500000, ship type: tanker, displacement: 5863
1119: This is a ship. Speed: 24, distance to destination: 857.000000, time to distance: 35.708333, ship type: liner, displacement: 4272
1120: 1121: This is a ship. Speed: 17, distance to destination: 1185.000000, time to distance: 69.705882, ship type: tanker, displacement: 22697
1122: This is a ship. Speed: 6, distance to destination: 1894.000000, time to distance: 315.666667, ship type: tanker, displacement: 20093
1123: This is a plane. Speed: 12, distance to destination: 499.000000, time to distance: 41.583333, maximum flight distance: 2664, capacity: 158
1124: 1125: This is a ship. Speed: 34, distance to destination: 1124.000000, time to distance: 33.058824, ship type: tanker, displacement: 1442
1126: This is a ship. Speed: 1, distance to destination: 292.000000, time to distance: 292.000000, ship type: tanker, displacement: 7245
1127: This is a plane. Speed: 20, distance to destination: 1367.000000, time to distance: 68.350000, maximum flight distance: 3721, capacity: 252
1128: 1129: This is a plane. Speed: 1, distance to destination: 1510.000000, time to distance: 1510.000000, maximum flight distance: 3563, capacity: 225
1130: 1131: This is a plane. Speed: 22, distance to destination: 1475.000000, time to distance: 67.045455, maximum flight distance: 2874, capacity: 157
1132: 1133: 1134: This is a ship. Speed: 14, distance to destination: 584.000000, time to distance: 41.714286, ship type: liner, displacement: 18280
1135: This is a plane. Speed: 12, distance to destination: 1118.000000, time to distance: 93.166667, maximum flight distance: 3960, capacity: 165
1136: 1137: This is a plane. Speed: 6, distance to destination: 807.000000, time to distance: 134.500000, maximum flight distance: 3893, capacity: 168
1138: This is a ship. Speed: 50, distance to destination: 1935.000000, time to distance: 38.700000, ship type: tugboat, displacement: 4216
1139: 1140: This is a plane. Speed: 39, distance to destination: 1224.000000, time to distance: 31.384615, maximum flight distance: 3830, capacity: 155
1141: This is a plane. Speed: 30, distance to destination: 907.000000, time to distance: 30.233333, maximum flight distance: 3752, capacity: 189
1142: This is a ship. Speed: 10, distance to destination: 1768.000000, time to distance: 176.800000, ship type: tugboat, displacement: 17302
1143: This is a plane. Speed: 38, distance to destination: 1363.000000, time to distance: 35.868421, maximum flight distance: 2490, capacity: 136
1144: 1145: This is a plane. Speed: 15, distance to destination: 696.000000, time to distance: 46.400000, maximum flight distance: 3292, capacity: 221
1146: 1147: This is a plane. Speed: 6, distance to destination: 1244.000000, time to distance: 207.333333, maximum flight distance: 2587, capacity: 123
1148: 1149: This is a ship. Speed: 14, distance to destination: 1503.000000, time to distance: 107.357143, ship type: tanker, displacement: 4264
1150: 1151: 1152: This is a ship. Speed: 63, distance to destination: 1953.000000, time to distance: 31.000000, ship type: tanker, displacement: 9367
1153: This is a plane. Speed: 28, distance to destination: 953.000000, time to distance: 34.035714, maximum flight distance: 2065, capacity: 192
1154: 1155: This is a plane. Speed: 36, distance to destination: 1631.000000, time to distance: 45.305556, maximum flight distance: 3606, capacity: 102
1156: 1157: 1158: 1159: This is a plane. Speed: 46, distance to destination: 1588.000000, time to distance: 34.521739, maximum flight distance: 3627, capacity: 254
1160: This is a plane. Speed: 1, distance to destination: 1099.000000, time to distance: 1099.000000, maximum flight distance: 3818, capacity: 300
1161: 1162: This is a ship. Speed: 11, distance to destination: 651.000000, time to distance: 59.181818, ship type: tanker, displacement: 16575
1163: 1164: This is a plane. Speed: 23, distance to destination: 933.000000, time to distance: 40.565217, maximum flight distance: 3511, capacity: 160
1165: 1166: This is a plane. Speed: 52, distance to destination: 1740.000000, time to distance: 33.461538, maximum flight distance: 3700, capacity: 102
1167: 1168: This is a plane. Speed: 3, distance to destination: 1542.000000, time to distance: 514.000000, maximum flight distance: 3698, capacity: 150
1169: This is a plane. Speed: 33, distance to destination: 1882.000000, time to distance: 57.030303, maximum flight distance: 2747, capacity: 216
1170: This is a ship. Speed: 2, distance to destination: 1672.000000, time to distance: 836.000000, ship type: tugboat, displacement: 13448
1171: This is a plane. Speed: 6, distance to destination: 700.000000, time to distance: 116.666667, maximum flight distance: 3831, capacity: 172
1172: 1173: This is a plane. Speed: 44, distance to destination: 1823.000000, time to distance: 41.431818, maximum flight distance: 2417, capacity: 160
1174: This is a plane. Speed: 52, distance to destination: 1850.000000, time to distance: 35.576923, maximum flight distance: 3628, capacity: 126
1175: This is a plane. Speed: 52, distance to destination: 1815.000000, time to distance: 34.903846, maximum flight distance: 3602, capacity: 182
1176: 1177: 1178: 1179: This is a ship. Speed: 27, distance to destination: 1327.000000, time to distance: 49.148148, ship type: liner, displacement: 9630
1180: 1181: This is a plane. Speed: 4, distance to destination: 1364.000000, time to distance: 341.000000, maximum flight distance: 3782, capacity: 219
1182: This is a ship. Speed: 44, distance to destination: 1872.000000, time to distance: 42.545455, ship type: tugboat, displacement: 31853
1183: 1184: This is a plane. Speed: 3, distance to destination: 491.000000, time to distance: 163.666667, maximum flight distance: 2641, capacity: 181
1185: 1186: 1187: This is a ship. Speed: 26, distance to destination: 786.000000, time to distance: 30.230769, ship type: liner, displacement: 18157
1188: This is a ship. Speed: 19, distance to destination: 1718.000000, time to distance: 90.421053, ship type: liner, displacement: 11253
1189: This is a plane. Speed: 9, distance to destination: 636.000000, time to distance: 70.666667, maximum flight distance: 3783, capacity: 147
1190: 1191: This is a plane. Speed: 10, distance to destination: 445.000000, time to distance: 44.500000, maximum flight distance: 3003, capacity: 291
1192: This is a plane. Speed: 43, distance to destination: 1947.000000, time to distance: 45.279070, maximum flight distance: 3068, capacity: 228
1193: 1194: This is a plane. Speed: 32, distance to destination: 1650.000000, time to distance: 51.562500, maximum flight distance: 2563, capacity: 266
1195: This is a plane. Speed: 15, distance to destination: 583.000000, time to distance: 38.866667, maximum flight distance: 2850, capacity: 250
1196: 1197: 1198: This is a plane. Speed: 26, distance to destination: 1463.000000, time to distance: 56.269231, maximum flight distance: 3630, capacity: 164
1199: This is a ship. Speed: 21, distance to destination: 1216.000000, time to distance: 57.904762, ship type: tanker, displacement: 11191
1200: This is a ship. Speed: 3, distance to destination: 930.000000, time to distance: 310.000000, ship type: tanker, displacement: 25890
1201: This is a plane. Speed: 26, distance to destination: 1707.000000, time to distance: 65.653846, maximum flight distance: 3941, capacity: 253
1202: This is a ship. Speed: 35, distance to destination: 1468.000000, time to distance: 41.942857, ship type: tugboat, displacement: 14605
1203: 1204: This is a ship. Speed: 11, distance to destination: 1328.000000, time to distance: 120.727273, ship type: tanker, displacement: 4334
1205: This is a plane. Speed: 4, distance to destination: 1857.000000, time to distance: 464.250000, maximum flight distance: 3220, capacity: 154
1206: This is a plane. Speed: 39, distance to destination: 1181.000000, time to distance: 30.282051, maximum flight distance: 3415, capacity: 291
1207: This is a ship. Speed: 47, distance to destination: 1669.000000, time to distance: 35.510638, ship type: tugboat, displacement: 7189
1208: This is a ship. Speed: 7, distance to destination: 1004.000000, time to distance: 143.428571, ship type: tugboat, displacement: 15724
1209: 1210: This is a ship. Speed: 12, distance to destination: 945.000000, time to distance: 78.750000, ship type: tugboat, displacement: 12783
1211: This is a ship. Speed: 9, distance to destination: 789.000000, time to distance: 87.666667, ship type: liner, displacement: 13536
1212: This is a plane. Speed: 47, distance to destination: 1806.000000, time to distance: 38.425532, maximum flight distance: 2625, capacity: 136
1213: This is a ship. Speed: 57, distance to destination: 1947.000000, time to distance: 34.157895, ship type: tanker, displacement: 1917
1214: This is a plane. Speed: 5, distance to destination: 690.000000, time to distance: 138.000000, maximum flight distance: 2394, capacity: 280
1215: This is a plane. Speed: 10, distance to destination: 301.000000, time to distance: 30.100000, maximum flight distance: 3064, capacity: 132
1216: This is a plane. Speed: 9, distance to destination: 1380.000000, time to distance: 153.333333, maximum flight distance: 3366, capacity: 152
1217: 1218: This is a plane. Speed: 60, distance to destination: 1938.000000, time to distance: 32.300000, maximum flight distance: 3022, capacity: 241
1219: 1220: This is a plane. Speed: 14, distance to destination: 777.000000, time to distance: 55.500000, maximum flight distance: 3027, capacity: 210
1221: 1222: 1223: 1224: 1225: This is a ship. Speed: 21, distance to destination: 1709.000000, time to distance: 81.380952, ship type: tugboat, displacement: 20936
1226: This is a plane. Speed: 22, distance to destination: 1780.000000, time to distance: 80.909091, maximum flight distance: 3921, capacity: 294
1227: This is a plane. Speed: 51, distance to destination: 1973.000000, time to distance: 38.686275, maximum flight distance: 3478, capacity: 233
1228: This is a plane. Speed: 42, distance to destination: 1914.000000, time to distance: 45.571429, maximum flight distance: 2483, capacity: 230
1229: This is a ship. Speed: 42, distance to destination: 1524.000000, time to distance: 36.285714, ship type: liner, displacement: 31464
1230: This is a ship. Speed: 17, distance to destination: 601.000000, time to distance: 35.352941, ship type: tugboat, displacement: 16523
1231: 1232: This is a ship. Speed: 22, distance to destination: 1483.000000, time to distance: 67.409091, ship type: tugboat, displacement: 20110
1233: This is a plane. Speed: 50, distance to destination: 1998.000000, time to distance: 39.960000, maximum flight distance: 3523, capacity: 246
1234: This is a ship. Speed: 52, distance to destination: 1675.000000, time to distance: 32.211538, ship type: tanker, displacement: 8098
1235: This is a ship. Speed: 9, distance to destination: 318.000000, time to distance: 35.333333, ship type: liner, displacement: 25653
1236: This is a plane. Speed: 23, distance to destination: 1795.000000, time to distance: 78.043478, maximum flight distance: 3901, capacity: 109
1237: 1238: 1239: 1240: 1241: 1242: 1243: This is a ship. Speed: 41, distance to destination: 1993.000000, time to distance: 48.609756, ship type: tanker, displacement: 24137
1244: This is a plane. Speed: 11, distance to destination: 1777.000000, time to distance: 161.545455, maximum flight distance: 3816, capacity: 189
1245: This is a ship. Speed: 20, distance to destination: 1809.000000, time to distance: 90.450000, ship type: tugboat, displacement: 29074
1246: 1247: This is a plane. Speed: 44, distance to destination: 1515.000000, time to distance: 34.431818, maximum flight distance: 3732, capacity: 214
1248: This is a ship. Speed: 11, distance to destination: 1839.000000, time to distance: 167.181818, ship type: liner, displacement: 12732
1249: This is a plane. Speed: 28, distance to destination: 854.000000, time to distance: 30.500000, maximum flight distance: 3382, capacity: 180
1250: This is a plane. Speed: 48, distance to destination: 1591.000000, time to distance: 33.145833, maximum flight distance: 3156, capacity: 213
1251: 1252: This is a ship. Speed: 16, distance to destination: 699.000000, time to distance: 43.687500, ship type: tanker, displacement: 8793
1253: This is a ship. Speed: 9, distance to destination: 1839.000000, time to distance: 204.333333, ship type: liner, displacement: 19701
1254: 1255: 1256: This is a ship. Speed: 2, distance to destination: 205.000000, time to distance: 102.500000, ship type: tanker, displacement: 16968
1257: 1258: This is a ship. Speed: 24, distance to destination: 1027.000000, time to distance: 42.791667, ship type: liner, displacement: 15181
1259: This is a ship. Speed: 9, distance to destination: 981.000000, time to distance: 109.000000, ship type: tanker, displacement: 25165
1260: This is a ship. Speed: 54, distance to destination: 1624.000000, time to distance: 30.074074, ship type: tugboat, displacement: 25855
1261: This is a ship. Speed: 29, distance to destination: 1683.000000, time to distance: 58.034483, ship type: tanker, displacement: 13810
1262: 1263: This is a plane. Speed: 40, distance to destination: 1791.000000, time to distance: 44.775000, maximum flight distance: 3407, capacity: 288
1264: This is a ship. Speed: 3, distance to destination: 813.000000, time to distance: 271.000000, ship type: liner, displacement: 24663
1265: This is a plane. Speed: 2, distance to destination: 233.000000, time to distance: 116.500000, maximum flight distance: 2393, capacity: 292
1266: 1267: This is a ship. Speed: 18, distance to destination: 599.000000, time to distance: 33.277778, ship type: tanker, displacement: 14190
1268: This is a ship. Speed: 37, distance to destination: 1471.000000, time to distance: 39.756757, ship type: tanker, displacement: 14201
1269: This is a ship. Speed: 56, distance to destination: 1955.000000, time to distance: 34.910714, ship type: tanker, displacement: 11604
1270: This is a ship. Speed: 9, distance to destination: 1716.000000, time to distance: 190.666667, ship type: tanker, displacement: 3536
1271: This is a plane. Speed: 25, distance to destination: 1079.000000, time to distance: 43.160000, maximum flight distance: 2534, capacity: 119
1272: 1273: 1274: This is a ship. Speed: 17, distance to destination: 1758.000000, time to distance: 103.411765, ship type: tanker, displacement: 14985
1275: This is a ship. Speed: 30, distance to destination: 1656.000000, time to distance: 55.200000, ship type: tugboat, displacement: 28191
1276: 1277: 1278: 1279: This is a ship. Speed: 46, distance to destination: 1413.000000, time to distance: 30.717391, ship type: liner, displacement: 3604
1280: 1281: This is a ship. Speed: 35, distance to destination: 1784.000000, time to distance: 50.971429, ship type: tanker, displacement: 16851
1282: 1283: This is a ship. Speed: 49, distance to destination: 1786.000000, time to distance: 36.448980, ship type: tugboat, displacement: 26390
1284: This is a ship. Speed: 15, distance to destination: 675.000000, time to distance: 45.000000, ship type: liner, displacement: 8816
1285: This is a ship. Speed: 19, distance to destination: 1581.000000, time to distance: 83.210526, ship type: tanker, displacement: 13629
1286: 1287: This is a ship. Speed: 49, distance to destination: 1590.000000, time to distance: 32.448980, ship type: tugboat, displacement: 25903
1288: 1289: This is a plane. Speed: 12, distance to destination: 1202.000000, time to distance: 100.166667, maximum flight distance: 2148, capacity: 266
1290: This is a ship. Speed: 3, distance to destination: 1652.000000, time to distance: 550.666667, ship type: liner, displacement: 8504
1291: 1292: This is a ship. Speed: 17, distance to destination: 1180.000000, time to distance: 69.411765, ship type: tanker, displacement: 28867
1293: This is a plane. Speed: 23, distance to destination: 1495.000000, time to distance: 65.000000, maximum flight distance: 2126, capacity: 295
1294: 1295: 1296: This is a plane. Speed: 29, distance to destination: 1815.000000, time to distance: 62.586207, maximum flight distance: 2124, capacity: 211
1297: This is a plane. Speed: 50, distance to destination: 1491.000000, time to distance: 29.820000, maximum flight distance: 2446, capacity: 272
1298: This is a plane. Speed: 23, distance to destination: 1702.000000, time to distance: 74.000000, maximum flight distance: 2600, capacity: 244
1299: 1300: This is a ship. Speed: 8, distance to destination: 1757.000000, time to distance: 219.625000, ship type: liner, displacement: 12519
1301: This is a ship. Speed: 42, distance to destination: 1756.000000, time to distance: 41.809524, ship type: tanker, displacement: 12041
1302: This is a ship. Speed: 35, distance to destination: 1275.000000, time to distance: 36.428571, ship type: tanker, displacement: 25938
1303: 1304: This is a ship. Speed: 60, distance to destination: 1997.000000, time to distance: 33.283333, ship type: tanker, displacement: 5925
1305: This is a ship. Speed: 39, distance to destination: 1945.000000, time to distance: 49.871795, ship type: tugboat, displacement: 9255
1306: 1307: 1308: This is a ship. Speed: 56, distance to destination: 1682.000000, time to distance: 30.035714, ship type: liner, displacement: 6321
1309: This is a plane. Speed: 29, distance to destination: 1850.000000, time to distance: 63.793103, maximum flight distance: 2931, capacity: 141
1310: This is a plane. Speed: 4, distance to destination: 1281.000000, time to distance: 320.250000, maximum flight distance: 2425, capacity: 135
1311: 1312: This is a plane. Speed: 13, distance to destination: 863.000000, time to distance: 66.384615, maximum flight distance: 2789, capacity: 180
1313: This is a ship. Speed: 21, distance to destination: 679.000000, time to distance: 32.333333, ship type: tugboat, displacement: 5113
1314: 1315: This is a plane. Speed: 4, distance to destination: 1241.000000, time to distance: 310.250000, maximum flight distance: 3026, capacity: 178
1316: 1317: This is a ship. Speed: 1, distance to destination: 860.000000, time to distance: 860.000000, ship type: tanker, displacement: 20753
1318: This is a plane. Speed: 25, distance to destination: 1068.000000, time to distance: 42.720000, maximum flight distance: 2134, capacity: 198
1319: 1320: 1321: This is a plane. Speed: 38, distance to destination: 1886.000000, time to distance: 49.631579, maximum flight distance: 2047, capacity: 207
1322: This is a plane. Speed: 48, distance to destination: 1873.000000, time to distance: 39.020833, maximum flight distance: 3048, capacity: 248
1323: This is a plane. Speed: 19, distance to destination: 1776.000000, time to distance: 93.473684, maximum flight distance: 3205, capacity: 267
1324: This is a ship. Speed: 38, distance to destination: 1803.000000, time to distance: 47.447368, ship type: tanker, displacement: 23207
1325: 1326: 1327: This is a ship. Speed: 42, distance to destination: 1633.000000, time to distance: 38.880952, ship type: liner, displacement: 25287
1328: This is a ship. Speed: 18, distance to destination: 596.000000, time to distance: 33.111111, ship type: liner, displacement: 18444
1329: This is a plane. Speed: 12, distance to destination: 1364.000000, time to distance: 113.666667, maximum flight distance: 2311, capacity: 227
1330: This is a ship. Speed: 43, distance to destination: 1535.000000, time to distance: 35.697674, ship type: tanker, displacement: 25224
1331: This is a ship. Speed: 27, distance to destination: 1022.000000, time to distance: 37.851852, ship type: tanker, displacement: 23990
1332: This is a plane. Speed: 28, distance to destination: 1604.000000, time to distance: 57.285714, maximum flight distance: 3014, capacity: 291
1333: This is a ship. Speed: 47, distance to destination: 1424.000000, time to distance: 30.297872, ship type: tanker, displacement: 12941
1334: This is a plane. Speed: 15, distance to destination: 989.000000, time to distance: 65.933333, maximum flight distance: 2230, capacity: 186
1335: This is a ship. Speed: 8, distance to destination: 723.000000, time to distance: 90.375000, ship type: tanker, displacement: 19364
1336: This is a plane. Speed: 4, distance to destination: 1199.000000, time to distance: 299.750000, maximum flight distance: 2271, capacity: 147
1337: This is a plane. Speed: 16, distance to destination: 1849.000000, time to distance: 115.562500, maximum flight distance: 2559, capacity: 235
1338: 1339: This is a ship. Speed: 7, distance to destination: 1132.000000, time to distance: 161.714286, ship type: liner, displacement: 1822
1340: This is a ship. Speed: 18, distance to destination: 1156.000000, time to distance: 64.222222, ship type: tanker, displacement: 3338
1341: This is a plane. Speed: 36, distance to destination: 1415.000000, time to distance: 39.305556, maximum flight distance: 2660, capacity: 255
1342: This is a ship. Speed: 1, distance to destination: 708.000000, time to distance: 708.000000, ship type: tugboat, displacement: 31241
1343: 1344: This is a plane. Speed: 40, distance to destination: 1943.000000, time to distance: 48.575000, maximum flight distance: 3006, capacity: 279
1345: 1346: 1347: 1348: This is a plane. Speed: 12, distance to destination: 670.000000, time to distance: 55.833333, maximum flight distance: 2307, capacity: 256
1349: This is a ship. Speed: 48, distance to destination: 1646.000000, time to distance: 34.291667, ship type: tanker, displacement: 19954
1350: 1351: This is a ship. Speed: 13, distance to destination: 1258.000000, time to distance: 96.769231, ship type: tugboat, displacement: 14419
1352: This is a ship. Speed: 60, distance to destination: 1992.000000, time to distance: 33.200000, ship type: tanker, displacement: 6692
1353: 1354: 1355: This is a plane. Speed: 14, distance to destination: 1761.000000, time to distance: 125.785714, maximum flight distance: 3096, capacity: 202
1356: This is a ship. Speed: 15, distance to destination: 1936.000000, time to distance: 129.066667, ship type: tugboat, displacement: 4701
1357: 1358: This is a ship. Speed: 14, distance to destination: 697.000000, time to distance: 49.785714, ship type: liner, displacement: 21425
1359: This is a plane. Speed: 43, distance to destination: 1403.000000, time to distance: 32.627907, maximum flight distance: 2746, capacity: 172
1360: 1361: 1362: This is a plane. Speed: 54, distance to destination: 1755.000000, time to distance: 32.500000, maximum flight distance: 2189, capacity: 228
1363: This is a plane. Speed: 1, distance to destination: 1567.000000, time to distance: 1567.000000, maximum flight distance: 3822, capacity: 116
1364: This is a ship. Speed: 45, distance to destination: 1751.000000, time to distance: 38.911111, ship type: tanker, displacement: 10967
1365: 1366: This is a ship. Speed: 12, distance to destination: 1165.000000, time to distance: 97.083333, ship type: tugboat, displacement: 4386
1367: 1368: This is a ship. Speed: 63, distance to destination: 1929.000000, time to distance: 30.619048, ship type: tanker, displacement: 26610
1369: 1370: 1371: This is a plane. Speed: 50, distance to destination: 1517.000000, time to distance: 30.340000, maximum flight distance: 2340, capacity: 117
1372: This is a plane. Speed: 46, distance to destination: 1522.000000, time to distance: 33.086957, maximum flight distance: 2802, capacity: 209
1373: 1374: This is a plane. Speed: 9, distance to destination: 1131.000000, time to distance: 125.666667, maximum flight distance: 3849, capacity: 247
1375: This is a plane. Speed: 27, distance to destination: 1490.000000, time to distance: 55.185185, maximum flight distance: 2303, capacity: 215
1376: 1377: 1378: 1379: This is a plane. Speed: 3, distance to destination: 322.000000, time to distance: 107.333333, maximum flight distance: 3403, capacity: 122
1380: 1381: 1382: This is a ship. Speed: 21, distance to destination: 1477.000000, time to distance: 70.333333, ship type: liner, displacement: 16491
1383: 1384: This is a plane. Speed: 12, distance to destination: 724.000000, time to distance: 60.333333, maximum flight distance: 2020, capacity: 300
1385: This is a ship. Speed: 28, distance to destination: 941.000000, time to distance: 33.607143, ship type: liner, displacement: 3115
1386: This is a ship. Speed: 9, distance to destination: 270.000000, time to distance: 30.000000, ship type: tanker, displacement: 33414
1387: 1388: 1389: This is a plane. Speed: 22, distance to destination: 1313.000000, time to distance: 59.681818, maximum flight distance: 2458, capacity: 169
1390: 1391: This is a plane. Speed: 20, distance to destination: 1441.000000, time to distance: 72.050000, maximum flight distance: 3355, capacity: 250
1392: This is a plane. Speed: 2, distance to destination: 752.000000, time to distance: 376.000000, maximum flight distance: 3990, capacity: 242
1393: This is a plane. Speed: 21, distance to destination: 1130.000000, time to distance: 53.809524, maximum flight distance: 3558, capacity: 186
1394: This is a ship. Speed: 54, distance to destination: 1789.000000, time to distance: 33.129630, ship type: liner, displacement: 16921
1395: This is a ship. Speed: 9, distance to destination: 590.000000, time to distance: 65.555556, ship type: liner, displacement: 21459
1396: This is a plane. Speed: 4, distance to destination: 1768.000000, time to distance: 442.000000, maximum flight distance: 2992, capacity: 222
1397: This is a ship. Speed: 16, distance to destination: 1400.000000, time to distance: 87.500000, ship type: liner, displacement: 5386
1398: This is a plane. Speed: 46, distance to destination: 1951.000000, time to distance: 42.413043, maximum flight distance: 2749, capacity: 279
1399: 1400: This is a plane. Speed: 8, distance to destination: 359.000000, time to distance: 44.875000, maximum flight distance: 2126, capacity: 133
1401: This is a ship. Speed: 57, distance to destination: 1811.000000, time to distance: 31.771930, ship type: tanker, displacement: 24264
1402: 1403: 1404: This is a ship. Speed: 3, distance to destination: 667.000000, time to distance: 222.333333, ship type: tanker, displacement: 1139
1405: 1406: This is a plane. Speed: 17, distance to destination: 1300.000000, time to distance: 76.470588, maximum flight distance: 3931, capacity: 283
1407: This is a plane. Speed: 10, distance to destination: 1312.000000, time to distance: 131.200000, maximum flight distance: 3700, capacity: 167
1408: This is a plane. Speed: 39, distance to destination: 1304.000000, time to distance: 33.435897, maximum flight distance: 2036, capacity: 271
1409: This is a ship. Speed: 24, distance to destination: 1977.000000, time to distance: 82.375000, ship type: liner, displacement: 32568
1410: This is a ship. Speed: 5, distance to destination: 1703.000000, time to distance: 340.600000, ship type: tugboat, displacement: 21880
1411: 1412: 1413: 1414: This is a plane. Speed: 28, distance to destination: 1161.000000, time to distance: 41.464286, maximum flight distance: 3639, capacity: 184
1415: This is a plane. Speed: 3, distance to destination: 542.000000, time to distance: 180.666667, maximum flight distance: 3616, capacity: 236
1416: This is a plane. Speed: 15, distance to destination: 1375.000000, time to distance: 91.666667, maximum flight distance: 3846, capacity: 217
1417: This is a ship. Speed: 22, distance to destination: 924.000000, time to distance: 42.000000, ship type: liner, displacement: 5353
1418: This is a ship. Speed: 8, distance to destination: 1457.000000, time to distance: 182.125000, ship type: liner, displacement: 23277
1419: This is a ship. Speed: 24, distance to destination: 828.000000, time to distance: 34.500000, ship type: tugboat, displacement: 28951
1420: 1421: This is a ship. Speed: 50, distance to destination: 1968.000000, time to distance: 39.360000, ship type: tanker, displacement: 30086
1422: 1423: This is a ship. Speed: 56, distance to destination: 1713.000000, time to distance: 30.589286, ship type: liner, displacement: 7450
1424: This is a plane. Speed: 16, distance to destination: 852.000000, time to distance: 53.250000, maximum flight distance: 3539, capacity: 291
1425: 1426: This is a plane. Speed: 36, distance to destination: 1132.000000, time to distance: 31.444444, maximum flight distance: 3283, capacity: 284
1427: 1428: 1429: This is a plane. Speed: 40, distance to destination: 1997.000000, time to distance: 49.925000, maximum flight distance: 3079, capacity: 213
1430: 1431: 1432: 1433: This is a ship. Speed: 10, distance to destination: 1480.000000, time to distance: 148.000000, ship type: liner, displacement: 32943
1434: This is a ship. Speed: 1, distance to destination: 1245.000000, time to distance: 1245.000000, ship type: tugboat, displacement: 11543
1435: 1436: This is a ship. Speed: 49, distance to destination: 1785.000000, time to distance: 36.428571, ship type: liner, displacement: 22015
