Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
8511: 8512: This is a plane. Speed: 138, distance to destination: 521.000000, time to distance: 3.775362, maximum flight distance: 3245, capacity: 223
8513: This is a plane. Speed: 151, distance to destination: 1151.000000, time to distance: 7.622517, maximum flight distance: 3498, capacity: 286
8514: This is a ship. Speed: 33, distance to destination: 10.000000, time to distance: 0.303030, ship type: tanker, displacement: 22182
8515: This is a plane. Speed: 198, distance to destination: 300.000000, time to distance: 1.515152, maximum flight distance: 3275, capacity: 132
8516: 8517: 8518: This is a ship. Speed: 1, distance to destination: 153.000000, time to distance: 153.000000, ship type: liner, displacement: 30081
8519: 8520: This is a plane. Speed: 147, distance to destination: 1155.000000, time to distance: 7.857143, maximum flight distance: 3010, capacity: 113
8521: This is a plane. Speed: 88, distance to destination: 673.000000, time to distance: 7.647727, maximum flight distance: 2675, capacity: 139
8522: This is a ship. Speed: 124, distance to destination: 784.000000, time to distance: 6.322581, ship type: tugboat, displacement: 20410
8523: This is a ship. Speed: 27, distance to destination: 297.000000, time to distance: 11.000000, ship type: liner, displacement: 12461
8524: This is a plane. Speed: 124, distance to destination: 326.000000, time to distance: 2.629032, maximum flight distance: 3913, capacity: 247
8525: 8526: 8527: This is a ship. Speed: 165, distance to destination: 932.000000, time to distance: 5.648485, ship type: liner, displacement: 26553
8528: This is a ship. Speed: 193, distance to destination: 1704.000000, time to distance: 8.829016, ship type: liner, displacement: 20972
8529: This is a ship. Speed: 165, distance to destination: 1888.000000, time to distance: 11.442424, ship type: tugboat, displacement: 17902
8530: This is a ship. Speed: 125, distance to destination: 1965.000000, time to distance: 15.720000, ship type: tanker, displacement: 20085
8531: This is a ship. Speed: 99, distance to destination: 1434.000000, time to distance: 14.484848, ship type: liner, displacement: 23720
8532: 8533: This is a ship. Speed: 199, distance to destination: 561.000000, time to distance: 2.819095, ship type: liner, displacement: 16638
8534: This is a ship. Speed: 186, distance to destination: 1168.000000, time to distance: 6.279570, ship type: tugboat, displacement: 16718
8535: This is a ship. Speed: 158, distance to destination: 1031.000000, time to distance: 6.525316, ship type: liner, displacement: 23650
8536: 8537: This is a ship. Speed: 111, distance to destination: 1594.000000, time to distance: 14.360360, ship type: liner, displacement: 5760
8538: This is a ship. Speed: 32, distance to destination: 1129.000000, time to distance: 35.281250, ship type: liner, displacement: 14823
8539: 8540: This is a ship. Speed: 133, distance to destination: 213.000000, time to distance: 1.601504, ship type: tugboat, displacement: 4253
8541: This is a ship. Speed: 76, distance to destination: 657.000000, time to distance: 8.644737, ship type: tugboat, displacement: 27479
8542: 8543: This is a plane. Speed: 22, distance to destination: 341.000000, time to distance: 15.500000, maximum flight distance: 3605, capacity: 191
8544: 8545: 8546: This is a ship. Speed: 198, distance to destination: 1808.000000, time to distance: 9.131313, ship type: tugboat, displacement: 8021
8547: This is a ship. Speed: 87, distance to destination: 1411.000000, time to distance: 16.218391, ship type: liner, displacement: 5992
8548: This is a ship. Speed: 186, distance to destination: 929.000000, time to distance: 4.994624, ship type: liner, displacement: 9589
8549: This is a plane. Speed: 5, distance to destination: 1622.000000, time to distance: 324.400000, maximum flight distance: 2037, capacity: 138
8550: This is a ship. Speed: 192, distance to destination: 413.000000, time to distance: 2.151042, ship type: tugboat, displacement: 18576
8551: 8552: This is a ship. Speed: 108, distance to destination: 543.000000, time to distance: 5.027778, ship type: tugboat, displacement: 15662
8553: This is a ship. Speed: 71, distance to destination: 1854.000000, time to distance: 26.112676, ship type: liner, displacement: 26696
8554: This is a ship. Speed: 113, distance to destination: 443.000000, time to distance: 3.920354, ship type: liner, displacement: 20564
8555: This is a ship. Speed: 65, distance to destination: 461.000000, time to distance: 7.092308, ship type: tugboat, displacement: 14290
8556: 8557: 8558: This is a ship. Speed: 59, distance to destination: 1164.000000, time to distance: 19.728814, ship type: tugboat, displacement: 24793
8559: This is a ship. Speed: 87, distance to destination: 1785.000000, time to distance: 20.517241, ship type: tugboat, displacement: 24561
8560: 8561: This is a plane. Speed: 196, distance to destination: 795.000000, time to distance: 4.056122, maximum flight distance: 3069, capacity: 147
8562: This is a ship. Speed: 159, distance to destination: 1428.000000, time to distance: 8.981132, ship type: tugboat, displacement: 31505
8563: 8564: This is a ship. Speed: 39, distance to destination: 1294.000000, time to distance: 33.179487, ship type: liner, displacement: 21223
8565: This is a ship. Speed: 26, distance to destination: 733.000000, time to distance: 28.192308, ship type: liner, displacement: 20685
8566: 8567: This is a plane. Speed: 68, distance to destination: 1655.000000, time to distance: 24.338235, maximum flight distance: 2378, capacity: 118
8568: This is a plane. Speed: 51, distance to destination: 895.000000, time to distance: 17.549020, maximum flight distance: 3049, capacity: 207
8569: 8570: 8571: This is a ship. Speed: 4, distance to destination: 1543.000000, time to distance: 385.750000, ship type: tugboat, displacement: 32986
8572: 8573: This is a plane. Speed: 94, distance to destination: 38.000000, time to distance: 0.404255, maximum flight distance: 3766, capacity: 143
8574: 8575: This is a plane. Speed: 44, distance to destination: 897.000000, time to distance: 20.386364, maximum flight distance: 3887, capacity: 273
8576: This is a plane. Speed: 87, distance to destination: 1192.000000, time to distance: 13.701149, maximum flight distance: 2825, capacity: 139
8577: This is a plane. Speed: 71, distance to destination: 224.000000, time to distance: 3.154930, maximum flight distance: 2311, capacity: 130
8578: This is a ship. Speed: 178, distance to destination: 663.000000, time to distance: 3.724719, ship type: liner, displacement: 3986
8579: This is a ship. Speed: 97, distance to destination: 977.000000, time to distance: 10.072165, ship type: tugboat, displacement: 5215
8580: This is a ship. Speed: 87, distance to destination: 135.000000, time to distance: 1.551724, ship type: tugboat, displacement: 9923
8581: This is a plane. Speed: 102, distance to destination: 38.000000, time to distance: 0.372549, maximum flight distance: 2432, capacity: 172
8582: 8583: 8584: This is a ship. Speed: 34, distance to destination: 655.000000, time to distance: 19.264706, ship type: tanker, displacement: 13226
8585: 8586: This is a ship. Speed: 37, distance to destination: 1546.000000, time to distance: 41.783784, ship type: liner, displacement: 28979
8587: 8588: This is a plane. Speed: 182, distance to destination: 436.000000, time to distance: 2.395604, maximum flight distance: 2957, capacity: 124
8589: This is a ship. Speed: 31, distance to destination: 674.000000, time to distance: 21.741935, ship type: liner, displacement: 31056
8590: This is a ship. Speed: 66, distance to destination: 307.000000, time to distance: 4.651515, ship type: tugboat, displacement: 3379
8591: This is a plane. Speed: 32, distance to destination: 196.000000, time to distance: 6.125000, maximum flight distance: 2457, capacity: 157
8592: 8593: This is a plane. Speed: 107, distance to destination: 201.000000, time to distance: 1.878505, maximum flight distance: 3641, capacity: 195
8594: 8595: This is a plane. Speed: 141, distance to destination: 453.000000, time to distance: 3.212766, maximum flight distance: 3143, capacity: 281
8596: This is a ship. Speed: 143, distance to destination: 719.000000, time to distance: 5.027972, ship type: tanker, displacement: 22819
8597: This is a plane. Speed: 103, distance to destination: 190.000000, time to distance: 1.844660, maximum flight distance: 3101, capacity: 232
8598: 8599: This is a plane. Speed: 55, distance to destination: 621.000000, time to distance: 11.290909, maximum flight distance: 3391, capacity: 244
8600: This is a plane. Speed: 21, distance to destination: 1849.000000, time to distance: 88.047619, maximum flight distance: 2960, capacity: 220
8601: 8602: 8603: This is a ship. Speed: 164, distance to destination: 1051.000000, time to distance: 6.408537, ship type: tugboat, displacement: 5285
8604: 8605: 8606: This is a ship. Speed: 190, distance to destination: 1321.000000, time to distance: 6.952632, ship type: tanker, displacement: 28834
8607: This is a ship. Speed: 168, distance to destination: 1228.000000, time to distance: 7.309524, ship type: tanker, displacement: 7073
8608: 8609: 8610: 8611: 8612: 8613: This is a plane. Speed: 196, distance to destination: 684.000000, time to distance: 3.489796, maximum flight distance: 3078, capacity: 251
8614: 8615: This is a plane. Speed: 71, distance to destination: 1220.000000, time to distance: 17.183099, maximum flight distance: 2718, capacity: 160
8616: This is a plane. Speed: 181, distance to destination: 1532.000000, time to distance: 8.464088, maximum flight distance: 3197, capacity: 103
8617: 8618: This is a plane. Speed: 111, distance to destination: 1201.000000, time to distance: 10.819820, maximum flight distance: 2459, capacity: 209
8619: This is a plane. Speed: 30, distance to destination: 751.000000, time to distance: 25.033333, maximum flight distance: 2325, capacity: 193
8620: 8621: 8622: This is a ship. Speed: 3, distance to destination: 281.000000, time to distance: 93.666667, ship type: liner, displacement: 21948
8623: This is a ship. Speed: 117, distance to destination: 587.000000, time to distance: 5.017094, ship type: tugboat, displacement: 30064
8624: This is a ship. Speed: 121, distance to destination: 690.000000, time to distance: 5.702479, ship type: liner, displacement: 12055
8625: This is a plane. Speed: 9, distance to destination: 796.000000, time to distance: 88.444444, maximum flight distance: 3126, capacity: 178
8626: This is a ship. Speed: 26, distance to destination: 221.000000, time to distance: 8.500000, ship type: tugboat, displacement: 22297
8627: This is a plane. Speed: 165, distance to destination: 1049.000000, time to distance: 6.357576, maximum flight distance: 2521, capacity: 260
8628: 8629: This is a plane. Speed: 58, distance to destination: 671.000000, time to distance: 11.568966, maximum flight distance: 3457, capacity: 210
8630: 8631: This is a plane. Speed: 106, distance to destination: 923.000000, time to distance: 8.707547, maximum flight distance: 3469, capacity: 192
8632: This is a ship. Speed: 159, distance to destination: 1605.000000, time to distance: 10.094340, ship type: tugboat, displacement: 7526
8633: This is a ship. Speed: 57, distance to destination: 1233.000000, time to distance: 21.631579, ship type: tanker, displacement: 17997
8634: This is a ship. Speed: 40, distance to destination: 952.000000, time to distance: 23.800000, ship type: liner, displacement: 9431
8635: This is a ship. Speed: 77, distance to destination: 254.000000, time to distance: 3.298701, ship type: tugboat, displacement: 23766
8636: 8637: This is a ship. Speed: 161, distance to destination: 1017.000000, time to distance: 6.316770, ship type: tugboat, displacement: 31879
8638: This is a ship. Speed: 153, distance to destination: 778.000000, time to distance: 5.084967, ship type: liner, displacement: 2699
8639: 8640: 8641: This is a ship. Speed: 104, distance to destination: 22.000000, time to distance: 0.211538, ship type: tugboat, displacement: 25180
8642: This is a ship. Speed: 95, distance to destination: 18.000000, time to distance: 0.189474, ship type: tanker, displacement: 23699
8643: 8644: 8645: 8646: 8647: This is a ship. Speed: 15, distance to destination: 77.000000, time to distance: 5.133333, ship type: liner, displacement: 8662
8648: This is a ship. Speed: 82, distance to destination: 826.000000, time to distance: 10.073171, ship type: tugboat, displacement: 24123
8649: This is a ship. Speed: 157, distance to destination: 1160.000000, time to distance: 7.388535, ship type: liner, displacement: 20767
8650: This is a ship. Speed: 163, distance to destination: 1087.000000, time to distance: 6.668712, ship type: liner, displacement: 30343
8651: This is a ship. Speed: 83, distance to destination: 1062.000000, time to distance: 12.795181, ship type: liner, displacement: 16419
8652: 8653: This is a plane. Speed: 119, distance to destination: 690.000000, time to distance: 5.798319, maximum flight distance: 3620, capacity: 163
8654: This is a plane. Speed: 177, distance to destination: 1995.000000, time to distance: 11.271186, maximum flight distance: 2189, capacity: 196
8655: This is a plane. Speed: 102, distance to destination: 934.000000, time to distance: 9.156863, maximum flight distance: 2560, capacity: 285
8656: This is a ship. Speed: 182, distance to destination: 1811.000000, time to distance: 9.950549, ship type: tugboat, displacement: 17886
8657: This is a plane. Speed: 27, distance to destination: 461.000000, time to distance: 17.074074, maximum flight distance: 3006, capacity: 211
8658: This is a ship. Speed: 41, distance to destination: 1166.000000, time to distance: 28.439024, ship type: liner, displacement: 26113
8659: This is a plane. Speed: 147, distance to destination: 1224.000000, time to distance: 8.326531, maximum flight distance: 2148, capacity: 176
8660: This is a plane. Speed: 154, distance to destination: 1593.000000, time to distance: 10.344156, maximum flight distance: 2138, capacity: 132
8661: This is a plane. Speed: 54, distance to destination: 278.000000, time to distance: 5.148148, maximum flight distance: 3155, capacity: 153
8662: This is a plane. Speed: 49, distance to destination: 1457.000000, time to distance: 29.734694, maximum flight distance: 2664, capacity: 182
8663: This is a ship. Speed: 95, distance to destination: 128.000000, time to distance: 1.347368, ship type: liner, displacement: 19426
8664: 8665: This is a ship. Speed: 74, distance to destination: 1919.000000, time to distance: 25.932432, ship type: tanker, displacement: 24051
8666: This is a plane. Speed: 115, distance to destination: 1349.000000, time to distance: 11.730435, maximum flight distance: 3358, capacity: 280
8667: This is a plane. Speed: 195, distance to destination: 1588.000000, time to distance: 8.143590, maximum flight distance: 2665, capacity: 206
8668: This is a plane. Speed: 22, distance to destination: 1167.000000, time to distance: 53.045455, maximum flight distance: 2066, capacity: 127
8669: This is a ship. Speed: 130, distance to destination: 1779.000000, time to distance: 13.684615, ship type: liner, displacement: 26153
8670: 8671: This is a ship. Speed: 38, distance to destination: 1726.000000, time to distance: 45.421053, ship type: tanker, displacement: 22557
8672: 8673: This is a ship. Speed: 142, distance to destination: 1930.000000, time to distance: 13.591549, ship type: tugboat, displacement: 24787
8674: This is a plane. Speed: 189, distance to destination: 616.000000, time to distance: 3.259259, maximum flight distance: 2244, capacity: 286
8675: 8676: This is a plane. Speed: 117, distance to destination: 1205.000000, time to distance: 10.299145, maximum flight distance: 2748, capacity: 231
8677: 8678: 8679: This is a ship. Speed: 56, distance to destination: 1854.000000, time to distance: 33.107143, ship type: liner, displacement: 18382
8680: This is a plane. Speed: 65, distance to destination: 115.000000, time to distance: 1.769231, maximum flight distance: 3863, capacity: 238
8681: 8682: This is a plane. Speed: 89, distance to destination: 576.000000, time to distance: 6.471910, maximum flight distance: 3521, capacity: 232
8683: This is a ship. Speed: 93, distance to destination: 1445.000000, time to distance: 15.537634, ship type: liner, displacement: 21679
8684: 8685: This is a plane. Speed: 82, distance to destination: 1057.000000, time to distance: 12.890244, maximum flight distance: 2260, capacity: 210
8686: This is a ship. Speed: 48, distance to destination: 1673.000000, time to distance: 34.854167, ship type: tugboat, displacement: 1514
8687: 8688: This is a ship. Speed: 33, distance to destination: 756.000000, time to distance: 22.909091, ship type: tugboat, displacement: 2952
8689: 8690: 8691: This is a plane. Speed: 125, distance to destination: 1725.000000, time to distance: 13.800000, maximum flight distance: 3012, capacity: 200
8692: This is a ship. Speed: 54, distance to destination: 1010.000000, time to distance: 18.703704, ship type: liner, displacement: 20496
8693: This is a ship. Speed: 172, distance to destination: 248.000000, time to distance: 1.441860, ship type: tugboat, displacement: 11145
8694: This is a plane. Speed: 80, distance to destination: 1542.000000, time to distance: 19.275000, maximum flight distance: 2876, capacity: 258
8695: This is a ship. Speed: 69, distance to destination: 14.000000, time to distance: 0.202899, ship type: tugboat, displacement: 31847
8696: This is a ship. Speed: 62, distance to destination: 582.000000, time to distance: 9.387097, ship type: tugboat, displacement: 29579
8697: This is a plane. Speed: 133, distance to destination: 1942.000000, time to distance: 14.601504, maximum flight distance: 3078, capacity: 216
8698: This is a ship. Speed: 38, distance to destination: 817.000000, time to distance: 21.500000, ship type: tugboat, displacement: 32776
8699: 8700: This is a plane. Speed: 54, distance to destination: 1269.000000, time to distance: 23.500000, maximum flight distance: 2570, capacity: 176
8701: 8702: This is a plane. Speed: 68, distance to destination: 1976.000000, time to distance: 29.058824, maximum flight distance: 3105, capacity: 159
8703: This is a ship. Speed: 152, distance to destination: 768.000000, time to distance: 5.052632, ship type: liner, displacement: 14993
8704: This is a ship. Speed: 67, distance to destination: 1652.000000, time to distance: 24.656716, ship type: liner, displacement: 23166
8705: 8706: This is a plane. Speed: 133, distance to destination: 1645.000000, time to distance: 12.368421, maximum flight distance: 3355, capacity: 116
8707: This is a ship. Speed: 185, distance to destination: 872.000000, time to distance: 4.713514, ship type: liner, displacement: 16970
8708: This is a plane. Speed: 58, distance to destination: 128.000000, time to distance: 2.206897, maximum flight distance: 2836, capacity: 263
8709: This is a plane. Speed: 20, distance to destination: 324.000000, time to distance: 16.200000, maximum flight distance: 2358, capacity: 112
8710: This is a ship. Speed: 40, distance to destination: 229.000000, time to distance: 5.725000, ship type: tanker, displacement: 20712
8711: This is a ship. Speed: 159, distance to destination: 1404.000000, time to distance: 8.830189, ship type: liner, displacement: 2343
8712: 8713: This is a plane. Speed: 51, distance to destination: 1734.000000, time to distance: 34.000000, maximum flight distance: 3057, capacity: 284
8714: 8715: This is a ship. Speed: 147, distance to destination: 733.000000, time to distance: 4.986395, ship type: liner, displacement: 14598
8716: 8717: This is a ship. Speed: 174, distance to destination: 361.000000, time to distance: 2.074713, ship type: tugboat, displacement: 16467
8718: This is a ship. Speed: 159, distance to destination: 186.000000, time to distance: 1.169811, ship type: tanker, displacement: 32538
8719: 8720: 8721: 8722: 8723: 8724: This is a ship. Speed: 18, distance to destination: 430.000000, time to distance: 23.888889, ship type: tanker, displacement: 26819
8725: 8726: This is a ship. Speed: 95, distance to destination: 1873.000000, time to distance: 19.715789, ship type: tugboat, displacement: 4860
8727: This is a ship. Speed: 8, distance to destination: 1469.000000, time to distance: 183.625000, ship type: liner, displacement: 17987
8728: This is a ship. Speed: 78, distance to destination: 810.000000, time to distance: 10.384615, ship type: tugboat, displacement: 14928
8729: This is a plane. Speed: 24, distance to destination: 1468.000000, time to distance: 61.166667, maximum flight distance: 2997, capacity: 259
8730: This is a plane. Speed: 9, distance to destination: 862.000000, time to distance: 95.777778, maximum flight distance: 3781, capacity: 186
8731: 8732: This is a plane. Speed: 16, distance to destination: 197.000000, time to distance: 12.312500, maximum flight distance: 2820, capacity: 193
8733: This is a plane. Speed: 189, distance to destination: 1939.000000, time to distance: 10.259259, maximum flight distance: 2671, capacity: 148
8734: 8735: 8736: This is a plane. Speed: 2, distance to destination: 1627.000000, time to distance: 813.500000, maximum flight distance: 2025, capacity: 225
8737: 8738: This is a plane. Speed: 169, distance to destination: 1168.000000, time to distance: 6.911243, maximum flight distance: 2992, capacity: 171
8739: This is a plane. Speed: 76, distance to destination: 523.000000, time to distance: 6.881579, maximum flight distance: 2091, capacity: 122
8740: 8741: This is a ship. Speed: 180, distance to destination: 794.000000, time to distance: 4.411111, ship type: liner, displacement: 14253
8742: This is a plane. Speed: 148, distance to destination: 1011.000000, time to distance: 6.831081, maximum flight distance: 3484, capacity: 176
8743: 8744: 8745: This is a ship. Speed: 4, distance to destination: 1399.000000, time to distance: 349.750000, ship type: tugboat, displacement: 18004
8746: This is a ship. Speed: 29, distance to destination: 1317.000000, time to distance: 45.413793, ship type: liner, displacement: 13863
8747: 8748: This is a plane. Speed: 102, distance to destination: 1509.000000, time to distance: 14.794118, maximum flight distance: 3954, capacity: 265
8749: This is a ship. Speed: 81, distance to destination: 789.000000, time to distance: 9.740741, ship type: tugboat, displacement: 9159
8750: 8751: 8752: 8753: This is a plane. Speed: 118, distance to destination: 1010.000000, time to distance: 8.559322, maximum flight distance: 2592, capacity: 251
8754: This is a plane. Speed: 123, distance to destination: 1947.000000, time to distance: 15.829268, maximum flight distance: 3466, capacity: 250
8755: This is a ship. Speed: 161, distance to destination: 1892.000000, time to distance: 11.751553, ship type: tugboat, displacement: 4776
8756: This is a plane. Speed: 160, distance to destination: 1115.000000, time to distance: 6.968750, maximum flight distance: 3703, capacity: 102
8757: 8758: This is a plane. Speed: 117, distance to destination: 1437.000000, time to distance: 12.282051, maximum flight distance: 3801, capacity: 143
8759: 8760: This is a ship. Speed: 4, distance to destination: 1747.000000, time to distance: 436.750000, ship type: tanker, displacement: 15096
8761: This is a ship. Speed: 156, distance to destination: 1008.000000, time to distance: 6.461538, ship type: tanker, displacement: 20245
8762: This is a ship. Speed: 117, distance to destination: 1116.000000, time to distance: 9.538462, ship type: liner, displacement: 33210
8763: This is a plane. Speed: 166, distance to destination: 1975.000000, time to distance: 11.897590, maximum flight distance: 3563, capacity: 253
8764: This is a ship. Speed: 36, distance to destination: 198.000000, time to distance: 5.500000, ship type: liner, displacement: 18058
8765: This is a plane. Speed: 189, distance to destination: 583.000000, time to distance: 3.084656, maximum flight distance: 3973, capacity: 271
8766: This is a ship. Speed: 34, distance to destination: 714.000000, time to distance: 21.000000, ship type: tugboat, displacement: 7129
8767: This is a plane. Speed: 110, distance to destination: 1350.000000, time to distance: 12.272727, maximum flight distance: 2720, capacity: 147
8768: This is a ship. Speed: 176, distance to destination: 817.000000, time to distance: 4.642045, ship type: liner, displacement: 10729
8769: This is a plane. Speed: 168, distance to destination: 1805.000000, time to distance: 10.744048, maximum flight distance: 2958, capacity: 132
8770: This is a plane. Speed: 185, distance to destination: 704.000000, time to distance: 3.805405, maximum flight distance: 3020, capacity: 282
8771: This is a plane. Speed: 168, distance to destination: 1235.000000, time to distance: 7.351190, maximum flight distance: 3208, capacity: 229
8772: 8773: This is a ship. Speed: 77, distance to destination: 86.000000, time to distance: 1.116883, ship type: tugboat, displacement: 3260
8774: This is a plane. Speed: 91, distance to destination: 284.000000, time to distance: 3.120879, maximum flight distance: 3446, capacity: 131
8775: 8776: This is a ship. Speed: 148, distance to destination: 341.000000, time to distance: 2.304054, ship type: tanker, displacement: 29309
8777: 8778: This is a ship. Speed: 56, distance to destination: 858.000000, time to distance: 15.321429, ship type: liner, displacement: 20528
8779: This is a plane. Speed: 174, distance to destination: 1686.000000, time to distance: 9.689655, maximum flight distance: 3764, capacity: 240
8780: This is a ship. Speed: 89, distance to destination: 1561.000000, time to distance: 17.539326, ship type: tugboat, displacement: 24676
8781: 8782: This is a ship. Speed: 40, distance to destination: 1905.000000, time to distance: 47.625000, ship type: liner, displacement: 29441
8783: 8784: This is a plane. Speed: 115, distance to destination: 56.000000, time to distance: 0.486957, maximum flight distance: 3228, capacity: 231
8785: 8786: This is a plane. Speed: 130, distance to destination: 93.000000, time to distance: 0.715385, maximum flight distance: 2395, capacity: 254
8787: 8788: This is a plane. Speed: 106, distance to destination: 1035.000000, time to distance: 9.764151, maximum flight distance: 3474, capacity: 277
8789: This is a ship. Speed: 3, distance to destination: 54.000000, time to distance: 18.000000, ship type: tanker, displacement: 9823
8790: This is a ship. Speed: 1, distance to destination: 196.000000, time to distance: 196.000000, ship type: liner, displacement: 4791
8791: This is a plane. Speed: 43, distance to destination: 671.000000, time to distance: 15.604651, maximum flight distance: 3110, capacity: 186
8792: 8793: 8794: This is a plane. Speed: 179, distance to destination: 1484.000000, time to distance: 8.290503, maximum flight distance: 2716, capacity: 226
8795: 8796: This is a plane. Speed: 113, distance to destination: 57.000000, time to distance: 0.504425, maximum flight distance: 3188, capacity: 182
8797: This is a plane. Speed: 126, distance to destination: 440.000000, time to distance: 3.492063, maximum flight distance: 3660, capacity: 169
8798: 8799: This is a plane. Speed: 107, distance to destination: 1336.000000, time to distance: 12.485981, maximum flight distance: 2885, capacity: 172
8800: This is a ship. Speed: 110, distance to destination: 1525.000000, time to distance: 13.863636, ship type: tanker, displacement: 25169
8801: This is a plane. Speed: 81, distance to destination: 277.000000, time to distance: 3.419753, maximum flight distance: 2192, capacity: 299
8802: 8803: 8804: 8805: 8806: 8807: This is a plane. Speed: 69, distance to destination: 309.000000, time to distance: 4.478261, maximum flight distance: 2201, capacity: 124
8808: This is a ship. Speed: 188, distance to destination: 242.000000, time to distance: 1.287234, ship type: liner, displacement: 20507
8809: This is a plane. Speed: 68, distance to destination: 57.000000, time to distance: 0.838235, maximum flight distance: 2752, capacity: 111
8810: This is a ship. Speed: 20, distance to destination: 1062.000000, time to distance: 53.100000, ship type: tugboat, displacement: 8449
8811: 8812: This is a ship. Speed: 32, distance to destination: 123.000000, time to distance: 3.843750, ship type: tugboat, displacement: 3362
8813: This is a plane. Speed: 80, distance to destination: 458.000000, time to distance: 5.725000, maximum flight distance: 2031, capacity: 238
8814: 8815: This is a ship. Speed: 23, distance to destination: 198.000000, time to distance: 8.608696, ship type: liner, displacement: 4186
8816: This is a ship. Speed: 158, distance to destination: 859.000000, time to distance: 5.436709, ship type: tanker, displacement: 31278
8817: 8818: This is a plane. Speed: 162, distance to destination: 139.000000, time to distance: 0.858025, maximum flight distance: 3511, capacity: 117
8819: This is a plane. Speed: 90, distance to destination: 1215.000000, time to distance: 13.500000, maximum flight distance: 2996, capacity: 142
8820: 8821: This is a plane. Speed: 59, distance to destination: 1407.000000, time to distance: 23.847458, maximum flight distance: 3836, capacity: 133
8822: This is a plane. Speed: 121, distance to destination: 93.000000, time to distance: 0.768595, maximum flight distance: 2988, capacity: 215
8823: This is a ship. Speed: 157, distance to destination: 316.000000, time to distance: 2.012739, ship type: tugboat, displacement: 31563
8824: This is a ship. Speed: 144, distance to destination: 35.000000, time to distance: 0.243056, ship type: tanker, displacement: 6022
8825: This is a plane. Speed: 95, distance to destination: 955.000000, time to distance: 10.052632, maximum flight distance: 2500, capacity: 215
8826: 8827: This is a ship. Speed: 14, distance to destination: 1581.000000, time to distance: 112.928571, ship type: tanker, displacement: 7534
8828: This is a ship. Speed: 130, distance to destination: 1879.000000, time to distance: 14.453846, ship type: tugboat, displacement: 33260
8829: This is a plane. Speed: 20, distance to destination: 240.000000, time to distance: 12.000000, maximum flight distance: 3023, capacity: 199
8830: This is a plane. Speed: 71, distance to destination: 639.000000, time to distance: 9.000000, maximum flight distance: 2012, capacity: 276
8831: This is a plane. Speed: 43, distance to destination: 1036.000000, time to distance: 24.093023, maximum flight distance: 3403, capacity: 277
8832: This is a ship. Speed: 105, distance to destination: 1994.000000, time to distance: 18.990476, ship type: tugboat, displacement: 10478
8833: This is a ship. Speed: 10, distance to destination: 387.000000, time to distance: 38.700000, ship type: liner, displacement: 11059
8834: 8835: This is a plane. Speed: 60, distance to destination: 1911.000000, time to distance: 31.850000, maximum flight distance: 3194, capacity: 242
8836: This is a ship. Speed: 104, distance to destination: 999.000000, time to distance: 9.605769, ship type: tanker, displacement: 25276
8837: This is a ship. Speed: 139, distance to destination: 1174.000000, time to distance: 8.446043, ship type: liner, displacement: 9043
8838: 8839: 8840: This is a plane. Speed: 78, distance to destination: 1949.000000, time to distance: 24.987179, maximum flight distance: 3077, capacity: 228
8841: This is a ship. Speed: 41, distance to destination: 66.000000, time to distance: 1.609756, ship type: liner, displacement: 16985
8842: This is a plane. Speed: 43, distance to destination: 1153.000000, time to distance: 26.813953, maximum flight distance: 2459, capacity: 229
8843: This is a ship. Speed: 152, distance to destination: 1975.000000, time to distance: 12.993421, ship type: tugboat, displacement: 28844
8844: This is a plane. Speed: 8, distance to destination: 1886.000000, time to distance: 235.750000, maximum flight distance: 3501, capacity: 288
8845: This is a ship. Speed: 157, distance to destination: 419.000000, time to distance: 2.668790, ship type: tanker, displacement: 12826
8846: This is a plane. Speed: 135, distance to destination: 201.000000, time to distance: 1.488889, maximum flight distance: 3790, capacity: 206
8847: This is a ship. Speed: 105, distance to destination: 103.000000, time to distance: 0.980952, ship type: liner, displacement: 5707
8848: This is a ship. Speed: 51, distance to destination: 1871.000000, time to distance: 36.686275, ship type: tanker, displacement: 29507
8849: This is a plane. Speed: 140, distance to destination: 1543.000000, time to distance: 11.021429, maximum flight distance: 3491, capacity: 218
8850: This is a plane. Speed: 81, distance to destination: 966.000000, time to distance: 11.925926, maximum flight distance: 3724, capacity: 168
8851: 8852: 8853: 8854: This is a plane. Speed: 21, distance to destination: 1738.000000, time to distance: 82.761905, maximum flight distance: 2117, capacity: 146
8855: This is a plane. Speed: 184, distance to destination: 723.000000, time to distance: 3.929348, maximum flight distance: 3885, capacity: 136
8856: 8857: This is a plane. Speed: 165, distance to destination: 771.000000, time to distance: 4.672727, maximum flight distance: 2694, capacity: 166
8858: This is a plane. Speed: 13, distance to destination: 334.000000, time to distance: 25.692308, maximum flight distance: 2729, capacity: 299
8859: This is a ship. Speed: 151, distance to destination: 666.000000, time to distance: 4.410596, ship type: tugboat, displacement: 3682
8860: This is a plane. Speed: 44, distance to destination: 1846.000000, time to distance: 41.954545, maximum flight distance: 2148, capacity: 264
8861: 8862: This is a plane. Speed: 48, distance to destination: 506.000000, time to distance: 10.541667, maximum flight distance: 3841, capacity: 149
8863: This is a ship. Speed: 143, distance to destination: 625.000000, time to distance: 4.370629, ship type: liner, displacement: 31614
